EventType,Attack,x1,y1,v1,x2,y2,v2,x3,y3,v3,x4,y4,v4,x5,y5,v5,x6,y6,v6,x7,y7,v7,x8,y8,v8,x9,y9,v9,x10,y10,v10
HUANG_PCN,false,139866,165107,0.0,139866,165107,0.0,139866,165107,0.0,139866,165107,0.0,139866,165107,0.0,139866,165107,0.0,139866,165107,0.0,139866,165107,0.0,139866,165107,0.0,139866,165107,0.0
HUANG_PCN,false,566660,185630,0.0,566660,185630,0.0,566660,185630,0.0,566660,185630,0.0,566660,185630,0.0,566660,185630,0.0,566660,185630,0.0,566660,185630,0.0,566660,185630,0.0,566660,185630,0.0
HUANG_PCN,false,186445,150133,0.0,186445,150133,0.0,186445,150133,0.0,186445,150133,0.0,186445,150133,0.0,186445,150133,0.0,186445,150133,0.0,186445,150133,0.0,186445,150133,0.0,186445,150133,0.0
HUANG_PCN,false,371166,248252,0.0,371166,248252,0.0,371166,248252,0.0,371166,248252,0.0,371166,248252,0.0,371166,248252,0.0,371166,248252,0.0,371166,248252,0.0,371166,248252,0.0,371166,248252,0.0
HUANG_PCN,false,321584,241875,0.0,321584,241875,0.0,321584,241875,0.0,321584,241875,0.0,321584,241875,0.0,321584,241875,0.0,321584,241875,0.0,321584,241875,0.0,321584,241875,0.0,321584,241875,0.0
HUANG_PCN,false,481094,250406,0.0,481094,250406,0.0,481094,250406,0.0,481094,250406,0.0,481094,250406,0.0,481094,250406,0.0,481094,250406,0.0,481094,250406,0.0,481094,250406,0.0,481094,250406,0.0
HUANG_PCN,false,214602,145219,0.0,214602,145219,0.0,214602,145219,0.0,214602,145219,0.0,214602,145219,0.0,214602,145219,0.0,214602,145219,0.0,214602,145219,0.0,214602,145219,0.0,214602,145219,0.0
HUANG_PCN,true,155941,426748,833.0,155791,426880,833.0,155640,427011,833.0,155490,427143,833.0,155339,427274,833.0,155188,427406,833.0,155038,427537,833.0,154892,427665,793.0,154762,427778,689.0,154648,427878,585.0
HUANG_PCN,false,299721,332444,0.0,299721,332444,0.0,299721,332444,0.0,299721,332444,0.0,299721,332444,0.0,299721,332444,0.0,299721,332444,0.0,299721,332444,0.0,299721,332444,0.0,299721,332444,0.0
HUANG_PCN,false,204265,418970,0.0,204265,418970,0.0,204265,418970,0.0,204265,418970,0.0,204265,418970,0.0,204265,418970,0.0,204265,418970,0.0,204265,418970,0.0,204265,418970,0.0,204265,418970,0.0
HUANG_PCN,false,476250,236970,0.0,476250,236970,0.0,476250,236970,0.0,476250,236970,0.0,476250,236970,0.0,476250,236970,0.0,476250,236970,0.0,476250,236970,0.0,476250,236970,0.0,476250,236970,0.0
HUANG_PCN,false,500599,144530,0.0,500599,144530,0.0,500599,144530,0.0,500599,144530,0.0,500599,144530,0.0,500599,144530,0.0,500599,144530,0.0,500599,144530,0.0,500599,144530,0.0,500599,144530,0.0
HUANG_PCN,false,200193,422960,0.0,200193,422960,0.0,200193,422960,0.0,200193,422960,0.0,200193,422960,0.0,200193,422960,0.0,200193,422960,0.0,200193,422960,0.0,200193,422960,0.0,200193,422960,0.0
HUANG_PCN,false,410420,296453,0.0,410420,296453,0.0,410420,296453,0.0,410420,296453,0.0,410420,296453,0.0,410420,296453,0.0,410420,296453,0.0,410420,296453,0.0,410420,296453,0.0,410420,296453,0.0
HUANG_PCN,false,568984,189352,0.0,568984,189352,0.0,568984,189352,0.0,568984,189352,0.0,568984,189352,0.0,568984,189352,0.0,568984,189352,0.0,568984,189352,0.0,568984,189352,0.0,568984,189352,0.0
HUANG_PCN,false,578244,270877,0.0,578244,270877,0.0,578244,270877,0.0,578244,270877,0.0,578244,270877,0.0,578244,270877,0.0,578244,270877,0.0,578244,270877,0.0,578244,270877,0.0,578244,270877,0.0
HUANG_PCN,false,293665,270827,0.0,293665,270827,0.0,293665,270827,0.0,293665,270827,0.0,293665,270827,0.0,293665,270827,0.0,293665,270827,0.0,293665,270827,0.0,293665,270827,0.0,293665,270827,0.0
HUANG_PCN,false,450082,161301,0.0,450082,161301,0.0,450082,161301,0.0,450082,161301,0.0,450082,161301,0.0,450082,161301,0.0,450082,161301,0.0,450082,161301,0.0,450082,161301,0.0,450082,161301,0.0
HUANG_PCN,false,450467,162024,0.0,450467,162024,0.0,450467,162024,0.0,450467,162024,0.0,450467,162024,0.0,450467,162024,0.0,450467,162024,0.0,450467,162024,0.0,450467,162024,0.0,450467,162024,0.0
HUANG_PCN,false,450847,162735,0.0,450847,162735,0.0,450847,162735,0.0,450847,162735,0.0,450847,162735,0.0,450847,162735,0.0,450847,162735,0.0,450847,162735,0.0,450847,162735,0.0,450847,162735,0.0
HUANG_PCN,false,322375,241871,0.0,322375,241871,0.0,322375,241871,0.0,322375,241871,0.0,322375,241871,0.0,322375,241871,0.0,322375,241871,0.0,322375,241871,0.0,322375,241871,0.0,322375,241871,0.0
HUANG_PCN,false,120348,35039,0.0,120348,35039,0.0,120348,35039,0.0,120348,35039,0.0,120348,35039,0.0,120348,35039,0.0,120348,35039,0.0,120348,35039,0.0,120348,35039,0.0,120348,35039,0.0
HUANG_PCN,false,119606,34107,0.0,119606,34107,0.0,119606,34107,0.0,119606,34107,0.0,119606,34107,0.0,119606,34107,0.0,119606,34107,0.0,119606,34107,0.0,119606,34107,0.0,119606,34107,0.0
HUANG_PCN,false,184542,151235,0.0,184542,151235,0.0,184542,151235,0.0,184542,151235,0.0,184542,151235,0.0,184542,151235,0.0,184542,151235,0.0,184542,151235,0.0,184542,151235,0.0,184542,151235,0.0
HUANG_PCN,false,178419,109946,0.0,178419,109946,0.0,178419,109946,0.0,178419,109946,0.0,178419,109946,0.0,178419,109946,0.0,178419,109946,0.0,178419,109946,0.0,178419,109946,0.0,178419,109946,0.0
HUANG_PCN,false,181714,196691,0.0,181714,196691,0.0,181714,196691,0.0,181714,196691,0.0,181714,196691,0.0,181714,196691,0.0,181714,196691,0.0,181714,196691,0.0,181714,196691,0.0,181714,196691,0.0
HUANG_PCN,false,163413,207868,0.0,163413,207868,0.0,163413,207868,0.0,163413,207868,0.0,163413,207868,0.0,163413,207868,0.0,163413,207868,0.0,163413,207868,0.0,163413,207868,0.0,163413,207868,0.0
HUANG_PCN,false,117597,387123,0.0,117597,387123,0.0,117597,387123,0.0,117597,387123,0.0,117597,387123,0.0,117597,387123,0.0,117597,387123,0.0,117597,387123,0.0,117597,387123,0.0,117597,387123,0.0
HUANG_PCN,true,180310,395572,1538.0000000000136,180056,395301,1566.0000000000136,179801,395029,1550.0000000000136,179546,394757,1534.0000000000136,179291,394485,1562.0000000000136,179036,394211,1546.0000000000136,178779,393937,1574.0000000000136,178522,393663,1558.0000000000136,178264,393388,1586.0000000000136,178007,393113,1570.0000000000136
HUANG_PCN,false,215507,144436,0.0,215507,144436,0.0,215507,144436,0.0,215507,144436,0.0,215507,144436,0.0,215507,144436,0.0,215507,144436,0.0,215507,144436,0.0,215507,144436,0.0,215507,144436,0.0
HUANG_PCN,false,213984,145754,0.0,213984,145754,0.0,213984,145754,0.0,213984,145754,0.0,213984,145754,0.0,213984,145754,0.0,213984,145754,0.0,213984,145754,0.0,213984,145754,0.0,213984,145754,0.0
HUANG_PCN,false,63426,400559,0.0,63426,400559,0.0,63426,400559,0.0,63426,400559,0.0,63426,400559,0.0,63426,400559,0.0,63426,400559,0.0,63426,400559,0.0,63426,400559,0.0,63426,400559,0.0
